Abaeis nicippe,Sleepy orange butterfly
Sciurus stramineus,Guayaquil squirrel
Sciurus vulgaris,Eurasian red squirrel
Sciurus vulgaris,Eurasian red squirrel
Sclerocrangon boreas,Sculptured shrimp
Scleropages formosus,Asian bonytongue
Sclerophrys camerunensis,Cameroon toad
Sclerophrys gutturalis,Guttural toad
Sclerophrys maculata,Flat-backed toad
Sclerophrys regularis,Common African toad
Scleropodium touretii,Glasswort feather-moss
Sclerotinia sclerotiorum,White mold
Sclerotinia sclerotiorum,White mold
Scobinichthys granulatus,Rough leatherjacket
Scolecomorphus vittatus,Banded caecilian
Scolelepis squamata,Polychaete worm
Scoliodon laticaudus,Spadenose shark
Scoliopus bigelovii,Fetid adder's tongue
Scolomys juruaense,Ucayali spiny mouse
Scolopax minor,American woodcock
Scolopendra cingulata,Megarian banded centipede
Scolopendra dehaani,Thai centipede
Scolopendra polymorpha,Tiger centipede
Scolopendra subspinipes,Vietnamese centipede
Scolopendra viridicornis,Brazilian giant centipede
Scolopendra viridicornis,Amazonian giant centipede
Scolopendra viridis,Giant centipede
Scolopsis bilineata,Two-lined monocle bream
Scolopsis ciliata,Saw-jawed monocle bream
Scomber australasicus,Blue mackerel
Scomber colias,Atlantic chub mackerel
Scomber japonicus,Chub mackerel
Scomber scombrus,Atlantic mackerel
Scomberesox saurus,Atlantic saury
Scomberomorus brasiliensis,Serra Spanish mackerel
Scomberomorus cavalla,King mackerel
Scomberomorus commerson,Narrow-barred Spanish mackerel
Scomberomorus concolor,Monterey Spanish mackerel
Scomberomorus guttatus,Indo-Pacific king mackerel
Scomberomorus maculatus,Spanish mackerel
Scomberomorus munroi,Australian spotted mackerel
Scomberomorus niphonius,Japanese Spanish mackerel
Scomberomorus regalis,Cero mackerel
Scomberomorus semifasciatus,Broadbarred king mackerel
Scomberomorus sierra,Pacific sierra
Scoparia dulcis,Sweet broom
Scopolia japonica,Japanese belladonna
Scorpaena inermis,Mushroom scorpionfish
Scorpaena notata,Small red scorpionfish
Scorpaena plumieri,Spotted scorpionfish
Scorpaena porcus,Black scorpionfish
Scorpaena scrofa,Red scorpionfish
Scorpaenodes guamensis,Guam scorpionfish
Scorpaenopsis diabolus,False stonefish
Scorpio palmatus,Israeli golden scorpion
Scotinomys teguina,Alston's brown mouse
Scotinomys xerampelinus,Chiriqui brown mouse
Scotophilus dinganii,African yellow bat
Scrophularia californica,California bee plant
Scrophularia canina,Dog figwort
Scutellaria alpina,Alpine skullcap
Scutellaria altissima,Tall skullcap
Scutellaria baicalensis,Baical skullcap
Scutellaria bolanderi,Sierra skullcap
Scutellaria galericulata,Marsh skullcap
Scutellaria incana,Downy skullcap
Scutellaria lateriflora,Mad-dog skullcap
Scuticaria tigrina,Tiger reef-eel
Scutigera coleoptrata,House centipede
Scutus antipodes,Elephant snail
Scutus breviculus,Shield shell
Scyliorhinus canicula,Small-spotted catshark
Scyliorhinus torazame,Cloudy catshark
Scylla paramamosain,Mud crab
Scylla serrata,Mud crab
Scyllarides latus,Mediterranean slipper lobster
Scytalopus femoralis,Rufous-vented tapaculo
Scytalopus latebricola,Brown-rumped tapaculo
Scytalopus magellanicus,Magellanic tapaculo
Scytalopus schulenbergi,Diademed tapaculo
Scytalopus spillmanni,Spillman's tapaculo
Scytalopus unicolor,Unicolored tapaculo
Scytalopus vicinior,Narino tapaculo
Scythrops novaehollandiae,Channel-billed cuckoo
Scytodes thoracica,Spitting spider
Sebastes auriculatus,Brown rockfish
Sebastes caurinus,Copper rockfish
Sebastes flavidus,Yellowtail rockfish
Sebastes inermis,Dark-banded rockfish
Sebastes nigrocinctus,Tiger rockfish
Sebastes rubrivinctus,Flag rockfish
Sebastes saxicola,Stripetail rockfish
Sebastes schlegelii,Korean rockfish
Sebastiscus marmoratus,False kelpfish
Secale strictum,Mountain rye
Securidaca diversifolia,Easter flower
Securigera varia,Crown vetch
Sedum lineare,Needle stonecrop
Sedum rubrotinctum,Jelly bean plant
Segestria florentina,Tube-web spider
Selaginella apoda,Meadow spike moss
Selaginella deflexa,Deflexed spike moss
Selaginella lepidophylla,Resurrection plant
Selaginella martensii,Martens's spike moss
Selaginella rupestris,Rock spike-moss
Selaginella selaginoides,Northern spike-moss
Selaginella uncinata,Blue spike-moss
Selar crumenophthalmus,Bigeye scad
Selaroides leptolepis,Yellowstripe scad
Selasphorus calliope,Calliope hummingbird
Selasphorus platycercus,Broad-tailed hummingbird
Selasphorus rufus,Rufous hummingbird
Selasphorus sasin,Allen's hummingbird
Selene brevoortii,Mexican lookdown
Selene brownii,Caribbean moonfish
Selene dorsalis,African moonfish
Selene orstedii,Mexican moonfish
Selene peruviana,Peruvian moonfish
Selene setapinnis,Atlantic moonfish
Selenia aurea,Golden selenia
Selenocosmia effera,Tarantula spider
Selenops insularis,Wall crab spider
Selenops lindborgi,Wall crab spider
Selenops mexicanus,Wall crab spider
Selenotypus plumipes,Australian featherleg tarantula
Sellaphora capitata,Freshwater diatom
Semachrysa matsumurae,Green lacewing
Semanotus japonicus,Sugi bark bore
Semibalanus balanoides,Northern rock barnacle
Semicossyphus pulcher,California sheephead
Semirossia patagonica,Patagonian bobtail squid
Semnopithecus entellus,Hanuman langur
Senecio angulatus,Cape ivy
Senecio squalidus,Oxford ragwort
Senecio vernalis,Spring groundsel
Senecio vulgaris,Common groundsel
Senegalia nigrescens,Knob-thorn tree
Senna alexandrina,Alexandrian senna
Senna didymobotrya,Popcorn cassia
Senna occidentalis,Coffee senna
Sepedon fuscipennis,Marsh fly
Sephanoides fernandensis,Juan Fernandez firecrown
Sephanoides sephaniodes,Green-backed firecrown
Sepia apama,Australian giant cuttlefish
Sepia esculenta,Golden cuttlefish
Sepia latimanus,Broadclub cuttlefish
Sepia officinalis,Common cuttlefish
Sepia pharaonis,Pharaoh cuttlefish
Sepiella inermis,Spineless cuttlefish
Sepiella japonica,Japanese spineless cuttlefish
Sepiola atlantica,Atlantic bobtail squid
Sepioloidea lineolata,Striped pyjama squid
Sepioteuthis lessoniana,Bigfin reef squid
Sepsis cynipsea,Black scavenger
Sepsis flavimana,Lesser dung fly
Septemserolis septemcarinata,Antarctic isopod
Sequoia sempervirens,California redwood
Serendipita indica,Root endophyte fungus
Serendipita indica,Root endophyte fungus
Serenoa repens,Saw palmetto
Serinus canaria,Island canary
Seriola dumerili,Greater amberjack
Seriola fasciata,Lesser amberjack
Seriola lalandi,Yellowtail amberjack
Seriola quinqueradiata,Five-ray yellowtail
Seriolella porosa,Choicy ruff
Serpula lacrymans,Dry rot fungus
Serpula lacrymans,Dry rot fungus
Serpula vermicularis,Red tube worm
Serrasalmus rhombeus,Redeye piranha
Serrognathus titanus,Giant stag beetle
Sesamia inferens,Purple stem borer
Sesamum indicum,Sesame
Sesamum indicum,Sesame
Sesarma reticulatum,Heavy marsh crab
Sesbania grandiflora,Hummingbird tree
Sesbania sesban,Egyptian riverhemp
Sesia apiformis,Hornet moth
Sesuvium portulacastrum,Shoreline sea purslane
Setaria faberi,Giant foxtail
Setaria italica,Foxtail millet
Setaria viridis,Green bristlegrass
Setophaga americana,Northern parula
Setophaga angelae,Elfin-woods warbler
Setophaga caerulescens,Black-throated blue warbler
Setophaga castanea,Bay-breasted warbler
Setophaga cerulea,Cerulean warbler
Setophaga citrina,Hooded warbler
Setophaga coronata,Yellow-rumped warbler
Setophaga discolor,Prairie warbler
Setophaga dominica,Yellow-throated warbler
Setophaga fusca,Blackburnian warbler
Setophaga graciae,Grace's warbler
Setophaga kirtlandii,Kirtland's warbler
Setophaga magnolia,Magnolia warbler
Setophaga nigrescens,Black-throated gray warbler
Setophaga occidentalis,Hermit warbler
Setophaga palmarum,Palm warbler
Setophaga pensylvanica,Chestnut-sided warbler
Setophaga petechia,Yellow warbler
Setophaga pinus,Pine warbler
Setophaga ruticilla,American redstart
Setophaga tigrina,Cape may warbler
Setophaga townsendi,Townsend's warbler
Setophaga virens,Black-throated green warbler
Sewellia lineolata,Reticulated hillstream loach
Shaogomphus postocularis,Clubtail dragonfly
Sheep pulmonary,Jaagsiekte sheep retrovirus
Shelfordella lateralis,Turkestan cockroach
Sheppardia gunningi,East coast akalat
Sheppardia lowei,Iringa akalat
Sheppardia montana,Usambara akalat
Sherardia arvensis,Blue field-madder
Shinkaia crosnieri,Deep-sea squat lobster
Sialia currucoides,Mountain bluebird
Sialia mexicana,Western bluebird
Sialia sialis,Eastern bluebird
Sibirionetta formosa,Baikal teal
Sibon nebulatus,Cloudy snail-eating snake
Sicamugil cascasia,Yellowtail mullet
Sicarius albospinosus,Six-eyed crab spider
Sicarius cf.,Six-eyed sand spider
Sicarius patagonicus,Six-eyed sand spider
Sicarius peruensis,Six-eyed sand spider
Sicarius terrosus,Cave spider
Sicyos angulatus,Bur cucumber
Siderasis fuscata,Brown spiderwort
Siderastrea radians,Lesser starlet coral
Siderastrea siderea,Massive starlet coral
Sideroxylon foetidissimum,False mastic
Siganus canaliculatus,White-spotted spinefoot
Siganus doliatus,Barred spinefoot
Siganus fuscescens,Mottled spinefoot
Siganus guttatus,Orange-spotted spinefoot
Siganus rivulatus,Marbled spinefoot
Siganus unimaculatus,Blotched foxface
Sigmodon hispidus,Hispid cotton rat
Sigmodon ochrognathus,Yellow-nosed cotton rat
Sigmops gracilis,Slender fangjaw
Silene acaulis,Moss campion
Silene baccifera,Berry catchfly
Silene conica,Striped corn catchfly
Silene dioica,Red campion
Silene flos-cuculi,Ragged robin
Silene gallica,Common catchfly
Silene latifolia,White campion
Silene latifolia,White campion
Silene otites,Spanish catchfly
Silene virginica,Fire pink
Silene vulgaris,Bladder campion
Sillago sihama,Silver sillago
Silpha longicornis,Carrion beetle
Silpha perforata,Carrion beetle
Silphium perfoliatum,Cup plant
Silurus asotus,Amur catfish
Silurus meridionalis,Southern catfish
Silvanus unidentatus,Grain beetle
Silybum marianum,Blessed milk-thistle
Simalia amethistina,Amethystine python
Simenchelys parasitica,Snubnosed eel
Simias concolor,Pig-tailed langur
Simosyrphus grandicornis,Common hoverfly
Simulium damnosum,Black fly
Simulium soubrense,Black fly
Simulium vittatum,Striped black fly
Sinanodonta woodiana,Chinese pond mussel
Sinapis alba,White mustard
Sinapis arvensis,Charlock mustard
Siniperca chuatsi,Mandarin fish
Siniperca knerii,Big-eye mandarin fish
Siniperca obscura,Mandarin fish
Siniperca scherzeri,Leopard mandarin fish
Sinobatis bulbicauda,Western Australian legskate
Sinocyclocheilus grahami,Dianchi golden-line fish
Sinogastromyzon puliensis,Taiwan sucker
Sinogastromyzon sichangensis,Hillstream loach
Sinomicrurus japonicus,Coral snake
Sinomicrurus kelloggi,Kellogg's coral snake
Sinomicrurus macclellandi,Macclelland's coral snake
Sinonovacula constricta,Razor clam
Siona lineata,Black-veined moth
Siphonochilus decorus,Yellow ginger
Siphonochilus kirkii,Rose ginger
Siphonocladus tropicus,Green alga
Siphonops annulatus,Ringed caecilian
Siphonosoma cumanense,Sipunculan worm
Siproeta stelenes,Malachite butterfly
Sipunculus nudus,Marine worm
Siraitia grosvenorii,Monk's fruit
Sirembo imberbis,Golden cusk
Siren intermedia,Lesser siren
Sistrurus catenatus,Desert massasauga
Sistrurus miliarius,Dusky pigmy rattlesnake
Sistrurus miliarius,Pigmy rattlesnake
Sistrurus miliarius,Western pigmy rattlesnake
Sistrurus tergeminus,Western massasauga
Sisymbrium altissimum,Tall tumblemustard
Sisymbrium irio,London rocket
Sisyrinchium montanum,Strict blue-eyed grass
Sisyrinchium striatum,Satin flower
Sitophilus granarius,Granary weevil
Sitophilus linearis,Tamarind weevil
Sitophilus oryzae,Rice weevil
Sitophilus zeamais,Maize weevil
Sitta canadensis,Red-breasted nuthatch
Sitta carolinensis,White-breasted nuthatch
Sitta europaea,Eurasian nuthatch
Sitta ledanti,Algerian nuthatch
Sitta pusilla,Brown-headed nuthatch
Sitta pygmaea,Pygmy nuthatch
Sium suave,Hemlock water parsnip
Sivaloka damnosus,Plant hopper
Skeletonema costatum,Marine centric diatom
Smallanthus microcephalus,Hairy leafcup
Smaug giganteus,Giant girdled lizard
Smeringurus mesaensis,Dune scorpion
Smerinthus cerisyi,One-eyed sphinx
Smilax china,China root
Smilax glauca,Cat greenbrier
Smilax rotundifolia,Common greenbrier
Sminthopsis aitkeni,Kangaroo island dunnart
Sminthopsis archeri,Chestnut dunnart
Sminthopsis bindi,Kakadu dunnart
Sminthopsis butleri,Carpentarian dunnart
Sminthopsis crassicaudata,Fat-tailed dunnart
Sminthopsis dolichura,Little long-tailed dunnart
Sminthopsis douglasi,Julia creek dunnart
Sminthopsis gilberti,Gilbert's dunnart
Sminthopsis granulipes,White-tailed dunnart
Sminthopsis griseoventer,Gray-bellied dunnart
Sminthopsis hirtipes,Hairy-footed dunnart
Sminthopsis leucopus,White-footed dunnart
Sminthopsis longicaudata,Long-tailed dunnart
Sminthopsis macroura,Stripe-faced dunnart
Sminthopsis murina,Slender-tailed dunnart
Sminthopsis ooldea,Ooldea dunnart
Sminthopsis psammophila,Sandhill dunnart
Sminthopsis virginiae,Red-cheeked dunnart
Sminthopsis youngsoni,Lesser hairy-footed dunnart
Sminthurus viridis,Lucerne flea
Smithora naiadum,Red alga
Smodingium argutum,African poison ivy
Smutsornis africanus,Double-banded courser
Sogatella furcifera,White-backed planthopper
Solandra grandiflora,Chalice vine
Solanum acaule,Wild potato
Solanum aculeatissimum,Dutch eggplant
Solanum aethiopicum,Scarlet eggplant
Solanum americanum,American black nightshade
Solanum bulbocastanum,Wild potato
Solanum cardiophyllum,Heartleaf nightshade
Solanum chacoense,Chaco potato
Solanum cheesmaniae,Galapagos Island tomato
Solanum commersonii,Commerson's wild potato
Solanum crispum,Chilean potato-tree
Solanum demissum,Wild potato
Solanum dulcamara,Climbing nightshade
Solanum elaeagnifolium,Silverleaf nightshade
Solanum glaucophyllum,Waxyleaf nightshade
Solanum habrochaites,Wild tomato
Solanum laciniatum,Kangaroo apple
Solanum lasiocarpum,Indian nightshade
Solanum lyratum,Lyreleaf nightshade
Solanum macrocarpon,African eggplant
Solanum mammosum,Nipple fruit
Solanum nigrum,Black nightshade
Solanum palustre,Non-tuber-performing potato
Solanum peruvianum,Peruvian tomato
Solanum pimpinellifolium,Currant tomato
Solanum ptychanthum,Eastern black nightshade
Solanum rostratum,Buffalobur nightshade
Solanum seaforthianum,Brazilian nightshade
Solanum torvum,Turkey berry
Solanum tuberosum,Potato
Solanum villosum,Hairy nightshade
Solaster dawsoni,Morning sun star
Solaster endeca,Purple sun star
Soldanella alpina,Alpine snowbell
Solea senegalensis,Senegalese sole
Solea solea,Common sole
Solemya velum,Atlantic awningclam
Solenodon paradoxus,Hispaniolan solenodon
Solenopsis amblychila,Desert fire ant
Solenopsis aurea,Desert fire ant
Solenopsis daguerrei,Workerless parasitic ant
Solenopsis electra,Fire ant
Solenopsis geminata,Tropical fire ant
Solenopsis globularia,Fire ant
Solenopsis interrupta,Fire ant
Solenopsis macdonaghi,Fire ant
Solenopsis mameti,Fire ant
Solenopsis megergates,Fire ant
Solenopsis molesta,Thief ant
Solenopsis n.,Fire ant
Solenopsis nigella,Fire ant
Solenopsis pusillignis,Fire ant
Solenopsis quinquecuspis,Fire ant
Solenopsis saevissima,Fire ant
Solenopsis sp.,Fire ant
Solenopsis sp.,Fire ant
Solenopsis sp.,Fire ant
Solenopsis sp.,Fire ant
Solenopsis substituta,Fire ant
Solenopsis tridens,Fire ant
Solenopsis xyloni,Southern fire ant
Solenosteira macrospira,Sea snail
Solidago canadensis,Tall goldenrod
Solieria filiformis,Red alga
Somateria fischeri,Spectacled eider
Somateria mollissima,Common eider
Somateria spectabilis,King eider
Somniosus microcephalus,Greenland sleeper shark
Sonchus arvensis,Perennial sowthistle
Sonchus asper,Spiny sowthistle
Sonchus oleraceus,Common sowthistle
Sonora occipitalis,Western shovel-nosed snake
Sonora straminea,Banded sand snake
Sonorella macrophallus,Wet Canyon talussnail
Sooglossus thomasseti,Thomasset's Seychelles frog
Sooretamys angouya,Paraguayan rice rat
Sophora flavescens,Ku shen
Sophora tetraptera,Large-leaved kowhai
Sorbus alnifolia,Korean mountainash
Sorbus aucuparia,European mountain ash
Sorex alpinus,Alpine shrew
Sorex antinorii,Valais shrew
Sorex araneus,Eurasian common shrew
Sorex arcticus,Arctic shrew
Sorex asper,Tien Shan shrew
Sorex bairdi,Baird's shrew
Sorex bendirii,Pacific water shrew
Sorex caecutiens,Laxmann's shrew
Sorex camtschatica,Kamchatka shrew
Sorex cinereus,Masked shrew
Sorex coronatus,Crowned shrew
Sorex cylindricauda,Greater stripe-backed shrew
Sorex daphaenodon,Large-toothed Siberian shrew
Sorex excelsus,Lofty shrew
Sorex fumeus,Smoky shrew
Sorex gracillimus,Slender shrew
Sorex granarius,Iberian shrew
Sorex haydeni,Hayden's shrew
Sorex hosonoi,Azumi shrew
Sorex hoyi,American pygmy shrew
Sorex isodon,Taiga shrew
Sorex longirostris,Southeastern shrew
Sorex minutissimus,Eurasian least shrew
Sorex minutus,Eurasian pygmy shrew
Sorex mirabilis,Ussuri shrew
Sorex monticolus,Dusky shrew
Sorex neomexicanus,New Mexico shrew
Sorex ornatus,Ornate shrew
Sorex pacificus,Pacific shrew
Sorex palustris,American water shrew
Sorex portenkoi,Portenko's shrew
Sorex preblei,Preble's shrew
Sorex pribilofensis,Pribilof island shrew
Sorex raddei,Radde's shrew
Sorex roboratus,Flat-skulled shrew
Sorex samniticus,Apennine shrew
Sorex saussurei,Saussure's shrew
Sorex shinto,Shinto shrew
Sorex shinto,Sado shrew
Sorex sonomae,Fog shrew
Sorex tenellus,Inyo shrew
Sorex trowbridgii,Trowbridge's shrew
Sorex tundrensis,Tundra shrew
Sorex ugyunak,Barren ground shrew
Sorex unguiculatus,Long-clawed shrew
Sorex vagrans,Vagrant shrew
Sorghum halepense,Johnson grass
Soriculus nigrescens,Himalayan shrew
Sorubim cuspicaudus,Trans-Andean shovelnose catfish
Sotalia fluviatilis,Gray dolphin
Sotalia guianensis,Guyana river dolphin
Sousa chinensis,Indo-pacific humpbacked dolphin
Spalax zemni,Podolsk mole rat
Spargania magnoliata,Double-banded carpet moth
Sparganium americanum,American bur-reed
Sparganium emersum,Unbranched bur-reed
Sparganium eurycarpum,Broadfruit bur-reed
Sparganium glomeratum,Clustered bur-reed
Spartium junceum,Spanish broom
Sparus aurata,Gilthead sea bream
Spathiphyllum wallisii,Peace lily
Spathodea campanulata,African tulip tree
Spathoglottis plicata,Philippine ground orchid
Spatula clypeata,Northern shoveler
Spatula cyanoptera,Cinnamon teal
Spatula discors,Blue-winged teal
Spatula hottentota,Hottentot teal
Spatula platalea,Red shoveler
Spatula rhynchotis,Australian shoveler
Spatula smithii,Cape shoveler
Spatula versicolor,Silver teal
Spauligodon anolis,Lizard pinworm
Spea bombifrons,plains spadefoot toad
Spelobia bifrons,Lesser dung fly
Speothos venaticus,Bush dog
Sperata aor,Long-whiskered catfish
Sperata seenghala,Giant river-catfish
Spergularia rubra,Red sand-spurrey
Spermatozopsis similis,Green alga
Spermophilopsis leptodactylus,Long-clawed ground squirrel
Spermophilus alashanicus,Alashan ground squirrel
Spermophilus citellus,European suslik
Spermophilus dauricus,Daurian ground squirrel
Spermophilus erythrogenys,Red-cheeked ground squirrel
